c0,c1,c2,c3,maxhf
200,350,500,500,9.988184319041876
200,350,500,2000,9.975790319612527
200,350,500,4000,9.981935920912626
200,350,1000,500,4.244894393984986
200,350,1000,2000,4.550461724700007
200,350,1000,4000,4.750802232125889
200,350,1500,500,4.934422533100826
200,350,1500,2000,3.6801385682613823
200,350,1500,4000,4.483053919600623
200,400,500,500,9.987467804529938
200,400,500,2000,9.986926792704867
200,400,500,4000,9.992664063843849
200,400,1000,500,5.131013755304103
200,400,1000,2000,4.415250211065189
200,400,1000,4000,4.074506548599605
200,400,1500,500,3.5424445699480867
200,400,1500,2000,3.24639827612165
200,400,1500,4000,3.7250329487677796
200,450,500,500,5.303538361039086
200,450,500,2000,9.969125975643143
200,450,500,4000,9.990795880750271
200,450,1000,500,9.034778220440394
200,450,1000,2000,4.01494696826251
200,450,1000,4000,3.3550551331274248
200,450,1500,500,3.6655580709187667
200,450,1500,2000,3.9535284861991036
200,450,1500,4000,4.387873301948507
350,350,500,500,9.991900962187701
350,350,500,2000,9.96208894644669
350,350,500,4000,9.98872884131725
350,350,1000,500,8.10663248661822
350,350,1000,2000,4.600108598595865
350,350,1000,4000,3.479179727262711
350,350,1500,500,2.895157884258504
350,350,1500,2000,3.1257331737529217
350,350,1500,4000,3.389067871539276
350,400,500,500,3.197525143583497
350,400,500,2000,9.982404812478107
350,400,500,4000,9.924079838225643
350,400,1000,500,3.23286295261832
350,400,1000,2000,4.004976090370447
350,400,1000,4000,3.8671087368283406
350,400,1500,500,3.111182304704789
350,400,1500,2000,2.9407626655162944
350,400,1500,4000,3.905640035233354
350,450,500,500,9.991818068141722
350,450,500,2000,9.978430632175684
350,450,500,4000,9.653093244176038
350,450,1000,500,2.6618637427472014
350,450,1000,2000,3.255425504235625
350,450,1000,4000,4.105786931092834
350,450,1500,500,3.012325883031676
350,450,1500,2000,3.2668989437971927
350,450,1500,4000,3.0106889491567967
500,350,500,500,8.442794751973782
500,350,500,2000,2.6590919530976938
500,350,500,4000,9.989014280756823
500,350,1000,500,4.135180991400655
500,350,1000,2000,3.5378877936046487
500,350,1000,4000,3.9792296606634503
500,350,1500,500,2.995755571308802
500,350,1500,2000,3.740963895427611
500,350,1500,4000,3.4178208241274355
500,400,500,500,9.992680694164909
500,400,500,2000,9.982974996425265
500,400,500,4000,9.959690123147807
500,400,1000,500,2.4800748140271347
500,400,1000,2000,2.9199316182625297
500,400,1000,4000,3.529013905180916
500,400,1500,500,2.8767028638078824
500,400,1500,2000,3.317277259923743
500,400,1500,4000,2.9160131454393716
500,450,500,500,9.86352741922078
500,450,500,2000,9.985242803592024
500,450,500,4000,9.611187652683391
500,450,1000,500,2.720945971841066
500,450,1000,2000,2.9065664690822057
500,450,1000,4000,2.8944289754419312
500,450,1500,500,2.6905505169838593
500,450,1500,2000,3.0759544798227956
500,450,1500,4000,3.293542053803842
