c0,c1,c2,c3,maxhf
0,0,0,0,10.0
0,0,0,50,10.0
0,0,0,100,10.0
0,0,0,150,10.0
0,0,50,0,9.982765878936847
0,0,50,50,9.986541902509028
0,0,50,100,9.985826483207955
0,0,50,150,9.98774650316782
0,0,100,0,9.989482150069
0,0,100,50,9.99038652040497
0,0,100,100,9.987095475790642
0,0,100,150,9.992507897548444
0,0,150,0,9.98964329578418
0,0,150,50,9.992058029555116
0,0,150,100,9.987329203425087
0,0,150,150,9.971494995977757
0,50,0,0,9.958209878525635
0,50,0,50,9.963139778296101
0,50,0,100,9.96759561904777
0,50,0,150,9.969889159807428
0,50,50,0,9.982375270783493
0,50,50,50,9.984081304531385
0,50,50,100,9.99486576786949
0,50,50,150,9.98326585525877
0,50,100,0,9.959509426759686
0,50,100,50,9.899553004649768
0,50,100,100,9.834248036433406
0,50,100,150,9.824553136140757
0,50,150,0,9.852440648842439
0,50,150,50,9.932702883048126
0,50,150,100,9.875076592815415
0,50,150,150,9.887785167614945
0,100,0,0,9.928278592068288
0,100,0,50,9.902940480546487
0,100,0,100,9.89067399345206
0,100,0,150,9.89821104794555
0,100,50,0,9.9751656209569
0,100,50,50,9.955722014698456
0,100,50,100,9.827667499023292
0,100,50,150,9.80772086349676
0,100,100,0,9.549585861558867
0,100,100,50,9.565397689853366
0,100,100,100,9.692388413144865
0,100,100,150,9.655352441443203
0,100,150,0,9.919435996453188
0,100,150,50,9.705091186969613
0,100,150,100,9.654442378070637
0,100,150,150,9.692143135686079
0,150,0,0,9.914289759473665
0,150,0,50,9.887168845513843
0,150,0,100,9.876195002639617
0,150,0,150,9.87349650752883
0,150,50,0,9.937031465298261
0,150,50,50,9.771312009994919
0,150,50,100,9.729867005779916
0,150,50,150,9.854422680060551
0,150,100,0,9.531173294453923
0,150,100,50,9.321304589313069
0,150,100,100,9.516180800849662
0,150,100,150,9.753822180071356
0,150,150,0,9.457085171116075
0,150,150,50,9.070607346546355
0,150,150,100,8.365497285605116
0,150,150,150,9.049228245796069
50,0,0,0,10.0
50,0,0,50,10.0
50,0,0,100,10.0
50,0,0,150,10.0
50,0,50,0,9.695152423885622
50,0,50,50,9.48973248434976
50,0,50,100,9.785982483289175
50,0,50,150,9.672623555641941
50,0,100,0,8.702213930346934
50,0,100,50,8.992132104670231
50,0,100,100,8.908718245303248
50,0,100,150,8.748945778840232
50,0,150,0,9.071062563519343
50,0,150,50,8.889994230483417
50,0,150,100,9.086461857565647
50,0,150,150,8.990674648052758
50,50,0,0,6.262710373868505
50,50,0,50,6.218272725733206
50,50,0,100,6.524067066074726
50,50,0,150,5.847279222934613
50,50,50,0,9.256242393445437
50,50,50,50,9.419515333727896
50,50,50,100,9.438375945962807
50,50,50,150,9.474737976862261
50,50,100,0,8.36113332746495
50,50,100,50,8.628343866191994
50,50,100,100,7.917680625074545
50,50,100,150,8.091549034937197
50,50,150,0,8.120431409891234
50,50,150,50,8.528669281764428
50,50,150,100,8.6020925880479
50,50,150,150,8.358498021763864
50,100,0,0,3.6645515737627776
50,100,0,50,3.5923957208213766
50,100,0,100,3.6361383521658213
50,100,0,150,3.703259859030743
50,100,50,0,9.178714378939649
50,100,50,50,9.213009229874222
50,100,50,100,7.818875670413368
50,100,50,150,9.028344531463418
50,100,100,0,7.526060611126826
50,100,100,50,7.287396165288039
50,100,100,100,7.534065575916432
50,100,100,150,7.438346765224633
50,100,150,0,7.73664612121299
50,100,150,50,7.776779213444371
50,100,150,100,7.528466764816203
50,100,150,150,6.535191468169435
50,150,0,0,2.926871648853174
50,150,0,50,2.855155777263712
50,150,0,100,3.023071686014444
50,150,0,150,3.010093582089626
50,150,50,0,8.39344784895852
50,150,50,50,8.286579789238361
50,150,50,100,8.3426822515206
50,150,50,150,7.930514135968407
50,150,100,0,6.74291506574915
50,150,100,50,7.019707580014415
50,150,100,100,6.549948940151573
50,150,100,150,6.56874356877497
50,150,150,0,7.08421608813135
50,150,150,50,7.168032223117486
50,150,150,100,6.683113220212008
50,150,150,150,6.823895462381615
100,0,0,0,10.0
100,0,0,50,10.0
100,0,0,100,10.0
100,0,0,150,10.0
100,0,50,0,9.626525663536427
100,0,50,50,9.34111004369165
100,0,50,100,9.482028431175399
100,0,50,150,9.428824653246995
100,0,100,0,7.972765729374718
100,0,100,50,8.300658214443668
100,0,100,100,8.260103156788428
100,0,100,150,8.084199843653527
100,0,150,0,8.66058554952713
100,0,150,50,8.80442528686781
100,0,150,100,8.36030676271709
100,0,150,150,8.354620520617805
100,50,0,0,4.565074490832941
100,50,0,50,4.140671294996598
100,50,0,100,3.8579271584981822
100,50,0,150,4.041440212451978
100,50,50,0,9.335592072622353
100,50,50,50,9.408878224438464
100,50,50,100,9.456215913459419
100,50,50,150,9.58119668092753
100,50,100,0,7.933105366988732
100,50,100,50,8.004116255494367
100,50,100,100,7.180331562984747
100,50,100,150,7.206342032544542
100,50,150,0,6.759625259020476
100,50,150,50,7.583775263866233
100,50,150,100,7.497915480426181
100,50,150,150,7.0820465989379375
100,100,0,0,2.9048233294859127
100,100,0,50,2.9042733583643567
100,100,0,100,2.7428437540067003
100,100,0,150,2.7908358572851224
100,100,50,0,9.141569386973806
100,100,50,50,7.075176025521063
100,100,50,100,7.1674793810248545
100,100,50,150,6.605194874515643
100,100,100,0,5.8642191700006485
100,100,100,50,6.874197836932657
100,100,100,100,6.468413901426438
100,100,100,150,6.193927355517347
100,100,150,0,6.744511052918032
100,100,150,50,6.001692094397666
100,100,150,100,6.894507306536072
100,100,150,150,6.053105582837689
100,150,0,0,2.4814542716019847
100,150,0,50,2.5467537910918385
100,150,0,100,2.7353441693270857
100,150,0,150,2.5845910494012863
100,150,50,0,6.141850038926772
100,150,50,50,8.234271313415647
100,150,50,100,8.352441107224585
100,150,50,150,6.7699676874590455
100,150,100,0,5.845696654972617
100,150,100,50,5.653310243477674
100,150,100,100,5.698478437204665
100,150,100,150,5.8637942245009
100,150,150,0,5.913739285520403
100,150,150,50,5.710062925777988
100,150,150,100,5.713445179770344
100,150,150,150,5.876825472604731
